Team,PlayedGames,Won,Drawn,Lost,GoalsFor,GoalsAgainst,GoalDifference,Points,Year
Manchester City FC,38,28,5,5,94,33,61,89,2022
Arsenal FC,38,26,6,6,88,43,45,84,2022
Manchester United FC,38,23,6,9,58,43,15,75,2022
Newcastle United FC,38,19,14,5,68,33,35,71,2022
Liverpool FC,38,19,10,9,75,47,28,67,2022
Brighton & Hove Albion FC,38,18,8,12,72,53,19,62,2022
Aston Villa FC,38,18,7,13,51,46,5,61,2022
Tottenham Hotspur FC,38,18,6,14,70,63,7,60,2022
Brentford FC,38,15,14,9,58,46,12,59,2022
Fulham FC,38,15,7,16,55,53,2,52,2022
Crystal Palace FC,38,11,12,15,40,49,-9,45,2022
Chelsea FC,38,11,11,16,38,47,-9,44,2022
Wolverhampton Wanderers FC,38,11,8,19,31,58,-27,41,2022
West Ham United FC,38,11,7,20,42,55,-13,40,2022
AFC Bournemouth,38,11,6,21,37,71,-34,39,2022
Nottingham Forest FC,38,9,11,18,38,68,-30,38,2022
Everton FC,38,8,12,18,34,57,-23,36,2022
Leicester City FC,38,9,7,22,51,68,-17,34,2022
Leeds United FC,38,7,10,21,48,78,-30,31,2022
Southampton FC,38,6,7,25,36,73,-37,25,2022
